,0,1,2
166,Buster Posey,0.324,0.36475015
167,Nick Delmonico,0.324,0.3367781
168,Trea Turner,0.324,0.33218837
169,Evan Gattis,0.324,0.3330449
170,Jose Bautista,0.324,0.3623044
171,Corey Seager,0.324,0.34488735
172,Mark Canha,0.324,0.33745468
173,Leonys Martin,0.323,0.34459814
174,Paul DeJong,0.323,0.32902068
175,Christian Villanueva,0.322,0.29379869
176,Jorge Polanco,0.322,0.3210351
177,Franchy Cordero,0.322,0.3450458
178,Jose Peraza,0.321,0.3203637
179,Adam Jones,0.321,0.31561598
180,Jason Heyward,0.321,0.32887164
181,Melky Cabrera,0.321,0.34963706
182,Joe Mauer,0.32,0.3796085
183,Starlin Castro,0.32,0.35122776
184,DJ LeMahieu,0.32,0.34643546
185,Matt Duffy,0.32,0.327507
186,Ian Desmond,0.319,0.33450577
187,Ronald Guzman,0.319,0.31089354
188,Tommy Pham,0.319,0.38084862
189,Yonder Alonso,0.319,0.33703786
190,Max Stassi,0.318,0.31111133
191,Franmil Reyes,0.317,0.3204972
192,Ketel Marte,0.317,0.34787846
193,Tyler Flowers,0.317,0.39488924
194,Alen Hanson,0.317,0.29216394
195,Jeimer Candelario,0.317,0.33549818
196,Austin Romine,0.316,0.32695022
197,Kevin Plawecki,0.316,0.36486322
198,Nick Ahmed,0.316,0.34264103
199,Brandon Crawford,0.315,0.33393544
200,Brian Dozier,0.315,0.360222
201,Aledmys Diaz,0.315,0.32771558
202,Marcell Ozuna,0.315,0.365186
203,Yan Gomes,0.314,0.3424391
204,Daniel Palka,0.314,0.30820304
205,Erik Gonzalez,0.314,0.3239638
206,Todd Frazier,0.314,0.362682
207,Enrique Hernandez,0.314,0.34019586
208,Brock Holt,0.313,0.32251522
209,Adrian Beltre,0.313,0.3462282
210,Tyler Saladino,0.313,0.34953028
211,Marwin Gonzalez,0.313,0.33856818
212,Brett Gardner,0.313,0.31970108
213,Randal Grichuk,0.312,0.30392423
214,Niko Goodrum,0.312,0.3388994
215,Russell Martin,0.312,0.32730302
216,Preston Tucker,0.312,0.33442855
217,Pablo Sandoval,0.312,0.35333416
218,Marcus Semien,0.312,0.32597703
219,Brad Miller,0.312,0.33509266
220,Elvis Andrus,0.311,0.3336134
221,Gerardo Parra,0.311,0.3375671
222,Jon Jay,0.311,0.33543804
223,Yulieski Gurriel,0.311,0.32221463
224,John Hicks,0.31,0.3235671
225,Josh Reddick,0.31,0.34172124
226,Colin Moran,0.31,0.32953057
227,Ryon Healy,0.31,0.3185094
228,Danny Valencia,0.31,0.33089852
229,Nick Hundley,0.309,0.33479917
230,Jonathan Villar,0.309,0.2771822
231,Eric Hosmer,0.309,0.31329295
232,Jordy Mercer,0.309,0.32141587
233,Willy Adames,0.308,0.30767548
234,Hanley Ramirez,0.308,0.32933825
235,Steven Souza Jr.,0.308,0.3450494
236,Renato Nunez,0.308,0.31134215
237,Tucker Barnhart,0.307,0.37042144
238,Isiah Kiner-Falefa,0.307,0.31937745
239,Hernan Perez,0.307,0.32284793
240,Robbie Grossman,0.307,0.33585253
241,Kolten Wong,0.307,0.30540586
242,David Fletcher,0.307,0.3204089
243,Chris Iannetta,0.307,0.36237276
244,Rafael Devers,0.307,0.32645997
245,Ryan McMahon,0.306,0.3153719
246,Ian Kinsler,0.306,0.34644607
247,Evan Longoria,0.306,0.34864733
248,Joey Rickard,0.306,0.30998257
249,Miguel Sano,0.305,0.3430192
250,Gorkys Hernandez,0.305,0.33657217
251,Austin Hedges,0.304,0.30388233
252,Yolmer Sanchez,0.304,0.31576
253,Albert Pujols,0.304,0.3493642
254,Jose Iglesias,0.304,0.30355373
255,Austin Jackson,0.304,0.32939664
256,Leury Garcia,0.304,0.30135137
257,Pedro Alvarez,0.304,0.3209195
258,Kevin Pillar,0.303,0.3126058
259,Gary Sanchez,0.303,0.34331268
260,Lucas Duda,0.303,0.32335976
261,Jackie Bradley Jr.,0.303,0.35462445
262,Tim Anderson,0.302,0.30272987
263,Addison Russell,0.301,0.30701953
264,Cory Spangenberg,0.301,0.31479624
265,Yoan Moncada,0.301,0.32847074
266,Trey Mancini,0.299,0.3250583
267,Manny Pina,0.299,0.31314626
268,Ehire Adrianza,0.298,0.3220373
269,Travis Jankowski,0.298,0.31520247
270,Greg Bird,0.298,0.35537925
271,Matt Wieters,0.298,0.35607192
272,Avisail Garcia,0.298,0.31512055
273,Alex Gordon,0.298,0.3434159
274,Mac Williamson,0.298,0.2745455
275,Jorge Alfaro,0.297,0.3173389
276,Jake Marisnick,0.297,0.25947773
277,Tommy La Stella,0.297,0.3279479
278,Kole Calhoun,0.296,0.36610076
279,Matt Joyce,0.296,0.36269492
280,Carlos Gomez,0.296,0.3016185
281,Yangervis Solarte,0.295,0.32425383
282,Ryan LaMarre,0.295,0.32950693
283,Salvador Perez,0.295,0.3482448
284,Dansby Swanson,0.295,0.33309546
285,Ender Inciarte,0.293,0.31641918
286,Cameron Maybin,0.293,0.33051994
287,Jason Kipnis,0.293,0.3546855
288,Luke Maile,0.293,0.33309737
289,Devin Mesoraco,0.293,0.338044
290,Andrew Knapp,0.292,0.33017558
291,J.P. Crawford,0.292,0.2857463
292,Jonathan Schoop,0.292,0.2817921
293,Kyle Seager,0.292,0.34211093
294,Domingo Santana,0.292,0.34029397
295,Chase Utley,0.291,0.33640572
296,Michael A. Taylor,0.29,0.31352806
297,Miguel Rojas,0.29,0.31195223
298,Jake Lamb,0.29,0.35072115
299,Zack Cozart,0.289,0.34795624
300,Jorge Bonifacio,0.289,0.3400533
301,Josh Harrison,0.288,0.31194633
302,Adalberto Mondesi,0.288,0.3155951
303,Erik Kratz,0.288,0.3688736
304,Greg Garcia,0.288,0.30913803
305,Adrian Gonzalez,0.287,0.35832807
306,Kevan Smith,0.287,0.2974312
307,Jose Pirela,0.287,0.32446864
308,Brandon Guyer,0.287,0.3205095
309,Devon Travis,0.287,0.308768
310,J.T. Riddle,0.287,0.31728476
311,Freddy Galvis,0.287,0.34988368
312,Neil Walker,0.286,0.3491349
313,Adam Duvall,0.286,0.32880658
314,Wilmer Difo,0.285,0.2730265
315,Martin Maldonado,0.285,0.30620554
316,Jace Peterson,0.284,0.33533552
317,Logan Forsythe,0.284,0.3431926
318,Manuel Margot,0.283,0.34037372
319,Logan Morrison,0.283,0.34759268
320,Eduardo Nunez,0.283,0.29594624
321,Joe Panik,0.283,0.33595818
322,Tyler Naquin,0.282,0.33055896
323,Charlie Tilson,0.282,0.21791524
324,Alex Avila,0.281,0.34045848
325,Steven Duggar,0.281,0.30473223
326,Mike Zunino,0.281,0.2936484
327,Victor Martinez,0.28,0.35558486
328,Gregor Blanco,0.279,0.27812213
329,Alex Blandino,0.279,0.31949916
330,Tim Beckham,0.279,0.30157068
331,Victor Caratini,0.278,0.31650975
332,Billy Hamilton,0.278,0.26169667
333,Amed Rosario,0.278,0.30547637
334,Dee Gordon,0.277,0.2818119
335,Rob Refsnyder,0.276,0.36935505
336,Greg Allen,0.275,0.33158845
337,Chance Sisco,0.275,0.31523198
338,Adeiny Hechavarria,0.273,0.32975873
339,Austin Barnes,0.273,0.27942562
340,John Ryan Murphy,0.272,0.33000422
341,Adam Engel,0.271,0.2690707
342,Craig Gentry,0.271,0.2994715
343,Guillermo Heredia,0.271,0.31178
344,Brian McCann,0.271,0.3083964
345,Aaron Altherr,0.271,0.31606174
346,Jonathan Lucroy,0.27,0.3481325
347,Dustin Fowler,0.27,0.33560237
348,Bradley Zimmer,0.27,0.33644432
349,Jefry Marte,0.27,0.31059477
350,JaCoby Jones,0.269,0.305167
351,Jay Bruce,0.269,0.34521025
352,Chris Young,0.268,0.298228
353,Hunter Dozier,0.268,0.33960137
354,Jose Reyes,0.267,0.30776754
355,Rajai Davis,0.267,0.28471544
356,Delino DeShields,0.265,0.31659082
357,Sean Rodriguez,0.264,0.2754519
358,Noel Cuevas,0.263,0.2739716
359,Cheslor Cuthbert,0.263,0.33567628
360,Martin Prado,0.262,0.32844588
361,James McCann,0.262,0.33538
362,Scott Kingery,0.261,0.27817932
363,Dexter Fowler,0.26,0.33987874
364,Ryan Flaherty,0.26,0.31100082
365,Caleb Joseph,0.259,0.2902692
366,Rosell Herrera,0.259,0.3236417
367,Carlos Asuaje,0.258,0.34840307
368,Blake Swihart,0.258,0.29663667
369,Kelby Tomlinson,0.257,0.29124466
370,Mikie Mahtook,0.256,0.30043462
371,Sandy Leon,0.255,0.2923895
372,Jeff Mathis,0.255,0.3434495
373,Johnny Field,0.254,0.28336352
374,Ryan Rua,0.253,0.30725488
375,Luis Valbuena,0.253,0.3136524
376,Drew Robinson,0.249,0.2597152
377,Tony Wolters,0.249,0.3225866
378,Kevin Kiermaier,0.246,0.29514685
379,Alcides Escobar,0.246,0.32168978
380,Ryan Goins,0.246,0.28809893
381,Abraham Almonte,0.244,0.35992908
382,Jarrod Dyson,0.244,0.31629118
383,Dixon Machado,0.244,0.32478386
384,Lewis Brinson,0.244,0.3186409
385,Chris Owings,0.242,0.33998242
386,Anthony Santander,0.242,0.314309
387,Christian Vazquez,0.242,0.2975287
388,Drew Butera,0.241,0.2941712
389,Chris Davis,0.241,0.31720123
390,Hunter Pence,0.238,0.28456223
391,Raffy Lopez,0.236,0.32191807
392,Orlando Arcia,0.233,0.2888615
393,Ronny Rodriguez,0.233,0.29805472
394,Bobby Wilson,0.232,0.27206796
395,Yadiel Rivera,0.231,0.3433206
396,Pedro Severino,0.225,0.29620847
397,Victor Reyes,0.223,0.30782568
398,Andrew Romine,0.221,0.2322942
399,Carlos Tocci,0.221,0.24630727
400,Bryan Holaday,0.221,0.29375204
401,J.B. Shuck,0.219,0.2992899
402,Roberto Perez,0.215,0.34695643
403,Francisco Pena,0.215,0.27060613
404,Jesus Sucre,0.212,0.32502118
405,Pat Valaika,0.204,0.26686165
406,Eric Sogard,0.194,0.34831142
407,Trayce Thompson,0.162,0.24882914
